<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
VNINDEX,20030106,181.76,181.76,181.76,181.76,5240
VNINDEX,20030107,180.63,180.63,180.63,180.63,6740
VNINDEX,20030108,179.79,179.79,179.79,179.79,4250
VNINDEX,20030109,178.93,178.93,178.93,178.93,4740
VNINDEX,20030110,178.67,178.67,178.67,178.67,4150
VNINDEX,20030113,178.03,178.03,178.03,178.03,6990
VNINDEX,20030114,177.31,177.31,177.31,177.31,3770
VNINDEX,20030115,176.43,176.43,176.43,176.43,6270
VNINDEX,20030116,173.11,173.11,173.11,173.11,10460
VNINDEX,20030117,173.05,173.05,173.05,173.05,6270
VNINDEX,20030120,171.40,171.40,171.40,171.40,6550
VNINDEX,20030121,171.36,171.36,171.36,171.36,7130
VNINDEX,20030122,170.55,170.55,170.55,170.55,9270
VNINDEX,20030123,172.03,172.03,172.03,172.03,6220
VNINDEX,20030124,172.66,172.66,172.66,172.66,6680
VNINDEX,20030127,172.30,172.30,172.30,172.30,9630
VNINDEX,20030128,172.38,172.38,172.38,172.38,10600
VNINDEX,20030210,170.94,170.94,170.94,170.94,7680
VNINDEX,20030211,167.59,167.59,167.59,167.59,14160
VNINDEX,20030212,163.91,163.91,163.91,163.91,19280
VNINDEX,20030213,167.07,167.07,167.07,167.07,9790
VNINDEX,20030214,168.73,168.73,168.73,168.73,8540
VNINDEX,20030217,168.49,168.49,168.49,168.49,7070
VNINDEX,20030218,167.23,167.23,167.23,167.23,7080
VNINDEX,20030219,166.31,166.31,166.31,166.31,3610
VNINDEX,20030220,165.99,165.99,165.99,165.99,8320
VNINDEX,20030221,164.62,164.62,164.62,164.62,7640
VNINDEX,20030224,165.48,165.48,165.48,165.48,7960
VNINDEX,20030225,165.29,165.29,165.29,165.29,7060
VNINDEX,20030226,164.71,164.71,164.71,164.71,4450
VNINDEX,20030227,164.69,164.69,164.69,164.69,4340
VNINDEX,20030228,164.61,164.61,164.61,164.61,8020
VNINDEX,20030303,165.58,165.58,165.58,165.58,7090
VNINDEX,20030304,164.91,164.91,164.91,164.91,6680
VNINDEX,20030305,164.34,164.34,164.34,164.34,9030
VNINDEX,20030306,164.28,164.28,164.28,164.28,6780
VNINDEX,20030307,164.02,164.02,164.02,164.02,6000
VNINDEX,20030310,163.57,163.57,163.57,163.57,7120
VNINDEX,20030311,162.86,162.86,162.86,162.86,6220
VNINDEX,20030312,162.11,162.11,162.11,162.11,8370
VNINDEX,20030313,161.63,161.63,161.63,161.63,141300
VNINDEX,20030314,161.30,161.30,161.30,161.30,6500
VNINDEX,20030317,160.70,160.70,160.70,160.70,8700
VNINDEX,20030318,157.83,157.83,157.83,157.83,7120
VNINDEX,20030319,157.95,157.95,157.95,157.95,7990
VNINDEX,20030320,156.14,156.14,156.14,156.14,9240
VNINDEX,20030321,155.24,155.24,155.24,155.24,15600
VNINDEX,20030324,153.94,153.94,153.94,153.94,10020
VNINDEX,20030325,153.07,153.07,153.07,153.07,9320
VNINDEX,20030326,152.36,152.36,152.36,152.36,10590
VNINDEX,20030327,151.96,151.96,151.96,151.96,9270
VNINDEX,20030328,150.53,150.53,150.53,150.53,10710
VNINDEX,20030331,145.41,145.41,145.41,145.41,8940
VNINDEX,20030401,139.64,139.64,139.64,139.64,16050
VNINDEX,20030402,144.93,144.93,144.93,144.93,24290
VNINDEX,20030403,149.18,149.18,149.18,149.18,25020
VNINDEX,20030404,150.22,150.22,150.22,150.22,20980
VNINDEX,20030407,149.39,149.39,149.39,149.39,12160
VNINDEX,20030408,147.14,147.14,147.14,147.14,7390
VNINDEX,20030409,146.49,146.49,146.49,146.49,6990
VNINDEX,20030410,147.66,147.66,147.66,147.66,10420
VNINDEX,20030411,149.27,149.27,149.27,149.27,11310
VNINDEX,20030414,149.02,149.02,149.02,149.02,9480
VNINDEX,20030415,148.69,148.69,148.69,148.69,11190
VNINDEX,20030416,148.78,148.78,148.78,148.78,9640
VNINDEX,20030417,150.67,150.67,150.67,150.67,18020
VNINDEX,20030418,152.17,152.17,152.17,152.17,10330
VNINDEX,20030421,151.97,151.97,151.97,151.97,6020
VNINDEX,20030422,151.96,151.96,151.96,151.96,12610
